Repository,Type,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
jmazumder / provider-jet-spotinst,Terrajet,https://github.com/jmazumder/provider-jet-spotinst,Jet Implementation of terraform-provider-spotinst,0,1,0,2022-02-15,2022-02-15,0001-01-01,,0,0,0,0
lucj / provider-jet-exoscale,Native,https://github.com/lucj/provider-jet-exoscale,,2,1,1,2022-02-12,2021-11-30,0001-01-01,,0,0,0,0
crossplane-contrib / provider-tinkerbell,Native,https://github.com/crossplane-contrib/provider-tinkerbell,**EXPERIMENTAL** (and non-functional) Crossplane Provider for Tinkerbell,4,2,0,2022-02-11,2020-11-06,0001-01-01,,0,0,0,0
maqiuyujoyce / provider-jet-template,Terrajet,https://github.com/maqiuyujoyce/provider-jet-template,,0,1,0,2022-02-09,2022-02-09,0001-01-01,,0,0,0,0
janwillies / provider-akamai,Native,https://github.com/janwillies/provider-akamai,,0,2,0,2022-02-08,2022-02-08,0001-01-01,,0,0,0,0
rybnico / provider-jet-hcloud,Terrajet,https://github.com/rybnico/provider-jet-hcloud,,0,1,0,2022-02-06,2022-02-06,0001-01-01,,0,0,0,0
AlertoJon-io / pagerduty-crossplane-provider,Terrajet,https://github.com/AlertoJon-io/pagerduty-crossplane-provider,,0,1,0,2022-02-05,2022-02-05,0001-01-01,,0,0,0,0
ADustyOldMuffin / provider-jet-do,Terrajet,https://github.com/ADustyOldMuffin/provider-jet-do,DigitalOcean terrajet provider,0,1,0,2022-02-03,2022-02-03,0001-01-01,,0,0,0,0
mortenko / provider-template,Native,https://github.com/mortenko/provider-template,template for writing providers for crossplane,0,2,0,2022-02-03,2022-02-03,0001-01-01,,0,0,0,0
sebastien-prudhomme / provider-jet-github,Terrajet,https://github.com/sebastien-prudhomme/provider-jet-github,,0,1,0,2022-02-03,2022-02-03,0001-01-01,,0,0,0,0
jmazumder / terraform-provider-spotinst,Terrajet,https://github.com/jmazumder/terraform-provider-spotinst,terrajet compatible terraform-provider-spotinst,0,1,0,2022-02-02,2022-02-02,0001-01-01,,0,0,0,0
jmazumder / terraform-provider-spotjet,Terrajet,https://github.com/jmazumder/terraform-provider-spotjet,,0,1,0,2022-02-02,2022-02-02,0001-01-01,,0,0,0,0
keinproblem / hello-crossplane,Terrajet,https://github.com/keinproblem/hello-crossplane,Managed with Crossplane Github Provider (generated with Terrajet),0,2,0,2022-02-02,2022-02-02,0001-01-01,,0,0,0,0
bryanl / provider-jet-vsphere,Terrajet,https://github.com/bryanl/provider-jet-vsphere,,0,1,0,2022-01-31,2022-01-31,0001-01-01,,0,0,0,0
realli07kkk / huaweicloud-crossplane,Terrajet,https://github.com/realli07kkk/huaweicloud-crossplane,,0,1,0,2022-01-28,2022-01-28,0001-01-01,,0,0,0,0
maltejk / crossplane-provider-myrasec,Terrajet,https://github.com/maltejk/crossplane-provider-myrasec,,0,2,7,2022-01-27,2022-01-27,0001-01-01,,0,0,0,0
ricable / provider-jet-civo,Terrajet,https://github.com/ricable/provider-jet-civo,Crossplane Jet Provider for Civo Kubernetes ,0,1,0,2022-01-25,2022-01-25,0001-01-01,,0,0,0,0
batthebee / provider-jet-github,Terrajet,https://github.com/batthebee/provider-jet-github,test,0,1,0,2022-01-25,2022-01-25,0001-01-01,,0,0,0,0
jaroslav-svoboda / provider-jet-azure-devops,Terrajet,https://github.com/jaroslav-svoboda/provider-jet-azure-devops,,0,1,1,2022-01-24,2022-01-24,0001-01-01,,0,0,0,0
turkenh / provider-jet-tencentcloud,Native,https://github.com/turkenh/provider-jet-tencentcloud,,0,1,0,2022-01-19,2022-01-18,0001-01-01,,0,0,0,0
rauerhans / xplane-prov,Native,https://github.com/rauerhans/xplane-prov,,0,1,0,2022-01-17,2022-01-17,0001-01-01,,0,0,0,0
jerrymccollom / provider-sample,Native,https://github.com/jerrymccollom/provider-sample,Sample provider,0,1,0,2022-01-17,2022-01-16,0001-01-01,,0,0,0,0
gmichelo / test-crossplane-provider,Native,https://github.com/gmichelo/test-crossplane-provider,,0,2,0,2022-01-16,2022-01-16,0001-01-01,,0,0,0,0
3pings / xplane-intersight,Native,https://github.com/3pings/xplane-intersight,,0,1,0,2022-01-13,2022-01-13,0001-01-01,,0,0,0,0
crossplane-contrib / provider-influxdb,Native,https://github.com/crossplane-contrib/provider-influxdb,Crossplane provider for InfluxDB Cloud,3,4,0,2022-01-10,2021-11-22,2022-01-20,https://doc.crds.dev/github.com/crossplane-contrib/provider-influxdb@v0.1.2,5,5,0,0
Meghana-R-ML / testing-intersight,Native,https://github.com/Meghana-R-ML/testing-intersight,,0,1,0,2022-01-06,2022-01-06,0001-01-01,,0,0,0,0
shahidv3 / oracle-provider,Native,https://github.com/shahidv3/oracle-provider,,0,2,0,2021-12-28,2021-12-28,0001-01-01,,0,0,0,0
yyai326 / provider-yy,Native,https://github.com/yyai326/provider-yy,,0,1,0,2021-12-24,2021-12-10,0001-01-01,,0,0,0,0
fahedouch / crossplane-provider-ansible,Native,https://github.com/fahedouch/crossplane-provider-ansible,crossplane provider ansible,0,1,0,2021-12-21,2021-12-21,0001-01-01,,0,0,0,0
cromark / terraform-provider-github,Native,https://github.com/cromark/terraform-provider-github,terraform-provider-github,0,2,0,2021-12-20,2021-12-20,0001-01-01,,0,0,0,0
rajendragosavi / my-own-crossplane-provider,Native,https://github.com/rajendragosavi/my-own-crossplane-provider,,0,1,0,2021-12-19,2021-12-19,0001-01-01,,0,0,0,0
shahidv3 / git-provider-jet,Native,https://github.com/shahidv3/git-provider-jet,,0,2,0,2021-12-18,2021-12-18,0001-01-01,,0,0,0,0
Meghana-R-ML / new_repo,Native,https://github.com/Meghana-R-ML/new_repo,,0,1,0,2021-12-17,2021-12-17,0001-01-01,,0,0,0,0
IBM / crossplane-provider-aws,Native,https://github.com/IBM/crossplane-provider-aws,IBM Bedrock fork of provider-aws,0,3,0,2021-12-13,2021-12-01,0001-01-01,,0,0,0,0
elyasafm / my_private_cloud,Native,https://github.com/elyasafm/my_private_cloud,,0,1,0,2021-12-12,2021-12-12,0001-01-01,,0,0,0,0
smileisak / provider-harbor,Native,https://github.com/smileisak/provider-harbor,,0,2,0,2021-12-10,2021-12-09,0001-01-01,,0,0,0,0
jasonmimick / provider-mongodbatlas-terraform,Native,https://github.com/jasonmimick/provider-mongodbatlas-terraform,POC using terrajet to link up the MongoDB Atlas Terraform provider into Crossplane,0,2,0,2021-12-07,2021-12-07,0001-01-01,,0,0,0,0
samueltorres / crossplane-do-provider,Native,https://github.com/samueltorres/crossplane-do-provider,,0,1,0,2021-11-25,2021-11-24,0001-01-01,,0,0,0,0
Telemetron / provider-jet-datadog,Native,https://github.com/Telemetron/provider-jet-datadog,,0,1,0,2021-11-22,2021-11-22,0001-01-01,,0,0,0,0
crossplane-contrib / provider-tf-equinix-metal,Native,https://github.com/crossplane-contrib/provider-tf-equinix-metal,Crossplane Provider for Equinix Metal based on the Terraform provider,5,1,8,2021-11-21,2021-11-12,0001-01-01,,0,0,0,0
zzxwill / provider-tf-alibaba,Native,https://github.com/zzxwill/provider-tf-alibaba,,0,2,0,2021-11-15,2021-11-15,0001-01-01,,0,0,0,0
luebken / provider-tf-rancher,Native,https://github.com/luebken/provider-tf-rancher,EXPERIMENTAL,0,2,0,2021-11-11,2021-11-11,0001-01-01,,0,0,0,0
luebken / provider-jet-rancher,Native,https://github.com/luebken/provider-jet-rancher,EXPERIMENTAL,0,2,0,2021-11-11,2021-11-11,0001-01-01,,0,0,0,0
knfoo / provider-private-cloud,Native,https://github.com/knfoo/provider-private-cloud,,0,1,0,2021-10-28,2021-10-28,0001-01-01,,0,0,0,0
cloud-pak-gitops / crossplane-provider-instana,Native,https://github.com/cloud-pak-gitops/crossplane-provider-instana,Crossplane Provider for Instana to simplify the installation and management of Instana Cluster,0,5,0,2021-10-21,2021-10-11,0001-01-01,,0,0,0,0
cloud-pak-gitops / crossplane-provider-cp4waiops,Native,https://github.com/cloud-pak-gitops/crossplane-provider-cp4waiops,Crossplane Provider for Cloud Pak for Watson AIOps to simplify the installation and management of Cloud Pak for Watson AIOps,0,5,0,2021-10-21,2021-10-11,0001-01-01,,0,0,0,0
jianh619 / provider-instana,Native,https://github.com/jianh619/provider-instana,,0,1,0,2021-10-18,2021-09-15,0001-01-01,,0,0,0,0
cdloh / provider-tf-cloudflare,Native,https://github.com/cdloh/provider-tf-cloudflare,,0,1,0,2021-10-14,2021-10-14,0001-01-01,,0,0,0,0
schaubce / example-provider,Native,https://github.com/schaubce/example-provider,Learning how to use Crossplane Providers,0,1,0,2021-10-12,2021-10-12,0001-01-01,,0,0,0,0
jograca / provider-template,Native,https://github.com/jograca/provider-template,Crossplane Provider Template,0,2,0,2021-10-12,2021-10-12,0001-01-01,,0,0,0,0
eminokic / crossplane-provider-template,Native,https://github.com/eminokic/crossplane-provider-template,this is a crossplane provider template,0,1,0,2021-09-22,2021-09-22,0001-01-01,,0,0,0,0
salaboy / provider-knative,Native,https://github.com/salaboy/provider-knative,Crossplane Knative Provider (install Knative into your Kubernetes Clusters) ,0,2,0,2021-09-11,2021-09-11,0001-01-01,,0,0,0,0
jgillich / crossplane-provider-scaleway,Native,https://github.com/jgillich/crossplane-provider-scaleway,,0,1,0,2021-09-11,2021-09-11,0001-01-01,,0,0,0,0
jograca / provider-awsscheduler,Native,https://github.com/jograca/provider-awsscheduler,provider-awsscheduler,0,2,0,2021-09-03,2021-09-03,0001-01-01,,0,0,0,0
luebken / provider-stormforge,Native,https://github.com/luebken/provider-stormforge,,0,2,0,2021-08-02,2021-08-02,0001-01-01,,0,0,0,0
benagricola / provider-externaldata,Native,https://github.com/benagricola/provider-externaldata,A provider to pull external data into a Crossplane composition so it can be used as a patching source,0,2,0,2021-07-26,2021-07-23,0001-01-01,,0,0,0,0
turkenh / provider-kubernetes-poc,Native,https://github.com/turkenh/provider-kubernetes-poc,[POC] Crossplane provider for managing Kubernetes resources in remote clusters,1,2,0,2021-07-11,2020-09-14,0001-01-01,,0,0,0,0
jianh619 / cloudpak-provider,Native,https://github.com/jianh619/cloudpak-provider,Cloudpak deploying using crossplane,0,1,1,2021-06-04,2021-05-29,0001-01-01,,0,0,0,0
benagricola / provider-aws-irsa,Native,https://github.com/benagricola/provider-aws-irsa,Implements an AWS IAM Role that can be assumed by an EKS Service Account,0,2,0,2021-05-27,2021-05-27,0001-01-01,,0,0,0,0
morningspace / provider-roboshop,Native,https://github.com/morningspace/provider-roboshop,,0,1,0,2021-05-16,2021-05-16,0001-01-01,,0,0,0,0
jeremycaine / acme-crossplane-provider,Native,https://github.com/jeremycaine/acme-crossplane-provider,ACME Crossplane provider development,0,1,0,2021-05-11,2021-05-11,0001-01-01,,0,0,0,0
salaboy / provider-kubecon,Native,https://github.com/salaboy/provider-kubecon,,0,2,0,2021-05-10,2021-05-10,0001-01-01,,0,0,0,0
laetho / provider-metagraf,Native,https://github.com/laetho/provider-metagraf,crossplane provider research,0,2,0,2021-05-07,2021-05-07,0001-01-01,,0,0,0,0
benagricola / provider-yaegi,Native,https://github.com/benagricola/provider-yaegi,This is a horrible idea. Exposes the traefik/yaegi interpreter as a Crossplane resource.,0,2,0,2021-05-05,2021-05-05,0001-01-01,,0,0,0,0
jianh619 / provider-ssh,Native,https://github.com/jianh619/provider-ssh,,0,1,0,2021-04-23,2021-04-22,0001-01-01,,0,0,0,0
rahulgrover99 / provider-nop-2,Native,https://github.com/rahulgrover99/provider-nop-2,,0,1,1,2021-04-12,2021-04-08,0001-01-01,,0,0,0,0
crossplanebook / provider-template,Native,https://github.com/crossplanebook/provider-template,A template repository for bootstrapping new Crossplane providers.,6,2,1,2021-04-05,2020-03-29,0001-01-01,,0,0,0,0
susunola / crossplane,Native,https://github.com/susunola/crossplane,,0,2,0,2021-03-31,2021-03-31,0001-01-01,,0,0,0,0
jianh619 / crossplane-test-provider,Native,https://github.com/jianh619/crossplane-test-provider,,0,1,0,2021-03-04,2021-03-04,0001-01-01,,0,0,0,0
crossplane-contrib / provider-opsgenie,Native,https://github.com/crossplane-contrib/provider-opsgenie,Crossplane Provider for Atlassian OpsGenie,2,5,0,2021-02-12,2020-12-01,0001-01-01,,0,0,0,0
siddharthlal-cn / scratch-provider,Native,https://github.com/siddharthlal-cn/scratch-provider,,0,1,0,2020-12-19,2020-12-19,0001-01-01,,0,0,0,0
niiku / crossplane-example-provider,Native,https://github.com/niiku/crossplane-example-provider,,0,1,0,2020-11-13,2020-11-13,0001-01-01,,0,0,0,0
muvaf / test-generated-aws,Native,https://github.com/muvaf/test-generated-aws,,0,1,0,2020-10-23,2020-10-19,0001-01-01,,0,0,0,0
ryanewk / test-crossplane-provider,Native,https://github.com/ryanewk/test-crossplane-provider,experimenting with building a crossplane provider,0,1,0,2020-04-02,2020-04-02,0001-01-01,,0,0,0,0
